val_out_3;val_out_1;val_out_2
486.3410339;406.7190552;79.62197876
271.3039551;192.6649628;78.63900757
442.6308289;365.1954956;77.43532562
757.1663208;681.0041504;76.16217041
1121.891968;1047.015015;74.87696838
1501.352173;1427.750977;73.60124207
1882.133667;1809.790771;72.3428421
2259.242432;2188.137939;71.10443115
2630.887207;2561.000488;69.88673401
2992.860107;2924.158447;68.70161438
3352.341064;3284.816162;67.52490234
3705.672607;3639.304199;66.36832428
4052.940674;3987.709229;65.23154449
4394.248535;4330.134277;64.11421204
4729.70166;4666.685547;63.01599503
5059.404785;4997.468262;61.93655777
5383.459473;5322.583984;60.8755722
5701.964844;5642.132324;59.83272934
6015.018066;5956.210449;58.80772018
6319.662109;6261.852051;57.81023026
6622.144043;6565.324219;56.81981277
6919.449707;6863.603516;55.84634018
