;;4;;8;
IN;OUT;IN;OUT;IN;OUT
5 984,4724261103;0,0520551992;23937,8897;0,208220797;47875,77941;0,416441594
5 984,7354338194;0,0511179194;23938,94174;0,204471677;47877,88347;0,408943355
5 984,9965753984;0,0501824063;23939,9863;0,200729625;47879,9726;0,40145925
5 985,2532490125;0,0492582072;23941,013;0,197032829;47882,02599;0,394065658
5 985,5055311331;0,0483453575;23942,02212;0,19338143;47884,04425;0,38676286
5 985,7534969208;0,0474439036;23943,01399;0,189775615;47886,02798;0,379551229
5 985,9972202510;0,0465539024;23943,98888;0,18621561;47887,97776;0,372431219
5 986,2367737377;0,0456754197;23944,94709;0,182701679;47889,89419;0,365403358
5 986,4722287502;0,0448085294;23945,88892;0,179234118;47891,77783;0,358468236
5 986,7036554387;0,0439533128;23946,81462;0,175813251;47893,62924;0,351626502
5 986,9311227522;0,0431098569;23947,72449;0,172439428;47895,44898;0,344878855
5 987,1524817487;0,0422865113;23948,60993;0,169146045;47897,21985;0,33829209
5 987,3722703878;0,0414667382;23949,48908;0,165866953;47898,97816;0,331733906
5 987,5882988540;0,0406590132;23950,3532;0,162636053;47900,70639;0,325272105
5 987,8006315084;0,0398634378;23951,20253;0,159453751;47902,40505;0,318907502
5 988,0093316118;0,0390801147;23952,03733;0,156320459;47904,07465;0,312640917
5 988,2144613395;0,0383091467;23952,85785;0,153236587;47905,71569;0,306473174
5 988,4160818056;0,0375506359;23953,66433;0,150202544;47907,32865;0,300405087
5 988,6142530745;0,0368046826;23954,45701;0,14721873;47908,91402;0,294437461
5 988,8090341863;0,0360713844;23955,23614;0,144285538;47910,47227;0,288571075
5 989,0004831666;0,0353508354;23956,00193;0,141403342;47912,00387;0,282806683
5 989,1867913371;0,0346501387;23956,74717;0,138600555;47913,49433;0,27720111
5 989,3717780958;0,0339552226;23957,48711;0,135820891;47914,97422;0,271641781
5 989,5536003630;0,0332733079;23958,2144;0,133093232;47916,4288;0,266186463
5 989,7323123031;0,0326044663;23958,92925;0,130417865;47917,8585;0,26083573
5 989,9079671483;0,0319487623;23959,63187;0,127795049;47919,26374;0,255590098
5 990,0806172229;0,0313062520;23960,32247;0,125225008;47920,64494;0,250450016
5 990,2503139523;0,0306769828;23961,00126;0,122707931;47922,00251;0,245415862
5 990,4171078816;0,0300609927;23961,66843;0,120243971;47923,33686;0,240487942
5 990,5810486886;0,0294583096;23962,32419;0,117833238;47924,64839;0,235666477
5 990,7421852008;0,0288689509;23962,96874;0,115475803;47925,93748;0,230951607
5 990,8989950961;0,0282986173;23963,59598;0,113194469;47927,19196;0,226388938
5 991,0546930302;0,0277357819;23964,21877;0,110943128;47928,43754;0,221886255
5 991,2077277283;0,0271862556;23964,83091;0,108745022;47929,66182;0,217490045
5 991,3581447636;0,0266500094;23965,43258;0,106600038;47930,86516;0,213200076
5 991,5059889274;0,0261270019;23966,02396;0,104508008;47932,04791;0,209016015
5 991,6513042434;0,0256171789;23966,60522;0,102468716;47933,21043;0,204937431
5 991,7941339811;0,0251204732;23967,17654;0,100481893;47934,35307;0,200963786
5 991,9345206660;0,0246368047;23967,73808;0,098547219;47935,47617;0,197094437
5 992,0725060970;0,0241660798;23968,29002;0,096664319;47936,58005;0,193328638
5 992,2081313561;0,0237081920;23968,83253;0,094832768;47937,66505;0,189665536
5 992,3401151162;0,0232674104;23969,36046;0,093069642;47938,72092;0,186139283
5 992,4711630748;0,0228346983;23969,88465;0,091338793;47939,7693;0,182677586
5 992,5999695397;0,0224144252;23970,39988;0,089657701;47940,79976;0,179315402
5 992,7265728522;0,0220064319;23970,90629;0,088025727;47941,81258;0,176051455
5 992,8510106979;0,0216105461;23971,40404;0,086442184;47942,80809;0,172884369
5 992,9733201137;0,0212265831;23971,89328;0,084906332;47943,78656;0,169812665
5 993,0935375035;0,0208543457;23972,37415;0,083417383;47944,7483;0,166834765
5 993,2116986461;0,0204936246;23972,84679;0,081974498;47945,69359;0,163948996
5 993,3278387079;0,0201441987;23973,31135;0,080576795;47946,62271;0,16115359
5 993,4419922512;0,0198058357;23973,76797;0,079223343;47947,53594;0,158446686
5 993,5530807909;0,0194815149;23974,21232;0,07792606;47948,42465;0,15585212
