;;4;;8;
IN;OUT;IN;OUT;IN;OUT
4 423,7039663222;5,1387965267;17694,81587;20,55518611;35389,63173;41,11037221
4 450,6717309535;5,0511615317;17802,68692;20,20464613;35605,37385;40,40929225
4 477,1781223073;4,9650239477;17908,71249;19,86009579;35817,42498;39,72019158
4 503,2310336272;4,8803573346;18012,92413;19,52142934;36025,84827;39,04285868
4 528,8382231184;4,7971357187;18115,35289;19,18854287;36230,70578;38,37708575
4 554,0073162619;4,7153335866;18216,02927;18,86133435;36432,05853;37,72266869
4 578,7458080811;4,6349258797;18314,98323;18,53970352;36629,96646;37,07940704
4 603,0610653763;4,5558879887;18412,24426;18,22355195;36824,48852;36,44710391
4 626,9603289181;4,4781957480;18507,84132;17,91278299;37015,68263;35,82556598
4 650,4507156041;4,4018254302;18601,80286;17,60730172;37203,60572;35,21460344
4 673,3103021680;4,3274981043;18693,24121;17,30999242;37386,48242;34,61998483
4 696,0077173165;4,2536895285;18784,03087;17,01475811;37568,06174;34,02951623
4 718,3168170693;4,1811344884;18873,26727;16,72453795;37746,53454;33,44907591
4 740,2442448096;4,1098109493;18960,97698;16,4392438;37921,95396;32,87848759
4 761,7965302688;4,0396972867;19047,18612;16,15878915;38094,37224;32,31757829
4 782,9800914684;3,9707722811;19131,92037;15,88308912;38263,84073;31,76617825
4 803,8012366344;3,9030151118;19215,20495;15,61206045;38430,40989;31,22412089
4 824,2661660728;3,8364053519;19297,06466;15,34562141;38594,12933;30,69124282
4 844,3809740177;3,7709229623;19377,5239;15,08369185;38755,04779;30,1673837
4 864,1516504454;3,7065482860;19456,6066;14,82619314;38913,2132;29,65238629
4 883,3914137592;3,6438895797;19533,56566;14,57555832;39067,13131;29,15111664
4 902,4946851942;3,5816622566;19609,97874;14,32664903;39219,95748;28,65329805
4 921,2711307871;3,5204860956;19685,08452;14,08194438;39370,16905;28,16388876
4 939,7263419813;3,4603429076;19758,90537;13,84137163;39517,81074;27,68274326
4 957,8658145674;3,4012148569;19831,46326;13,60485943;39662,92652;27,20971885
4 975,6949503120;3,3430844553;19902,7798;13,37233782;39805,5596;26,74467564
4 993,2190585748;3,2859345565;19972,87623;13,14373823;39945,75247;26,28747645
5 010,4433578835;3,2297483499;20041,77343;12,9189934;40083,54686;25,8379868
5 027,3729774884;3,1745093545;20109,49191;12,69803742;40218,98382;25,39607484
5 043,8479764465;3,1207399365;20175,39191;12,48295975;40350,78381;24,96591949
5 060,2060974847;3,0673381362;20240,82439;12,26935254;40481,64878;24,53870509
5 076,2843577675;3,0148361781;20305,13743;12,05934471;40610,27486;24,11868942
5 092,0875452805;2,9632188379;20368,35018;11,85287535;40736,70036;23,7057507
5 107,6203660981;2,9124711914;20430,48146;11,64988477;40860,96293;23,29976953
5 122,8874457840;2,8625786083;20491,54978;11,45031443;40983,09957;22,90062887
5 137,8933307697;2,8135267462;20551,57332;11,25410698;41103,14665;22,50821397
5 152,6424897081;2,7653015444;20610,56996;11,06120618;41221,13992;22,12241236
5 167,1393148018;2,7178892181;20668,55726;10,87155687;41337,11452;21,74311374
5 181,3881231136;2,6712762522;20725,55249;10,68510501;41451,10498;21,37021002
5 195,2543004297;2,6259038155;20781,0172;10,50361526;41562,0344;21,00723052
5 209,0221078269;2,5808424065;20836,08843;10,32336963;41672,17686;20,64673925
5 222,5543708859;2,5365414972;20890,21748;10,14616599;41780,43497;20,29233198
5 235,8551194349;2,4929885891;20943,42048;9,971954356;41886,84096;19,94390871
5 248,9283143607;2,4501714237;20995,71326;9,800685695;41991,42651;19,60137139
5 261,7778487886;2,4080779762;21047,1114;9,632311905;42094,22279;19,26462381
5 274,4075492385;2,3666964502;21097,6302;9,466785801;42195,26039;18,9335716
5 286,8211767639;2,3260152717;21147,28471;9,304061087;42294,56941;18,60812217
5 299,0224280777;2,2860230830;21196,08971;9,144092332;42392,17942;18,28818466
5 311,0149366448;2,2467087376;21244,05975;8,986834951;42488,11949;17,9736699
5 322,6854044201;2,2084445028;21290,74162;8,833778011;42581,48324;17,66755602
5 334,2730797402;2,1704467104;21337,09232;8,681786842;42674,18464;17,36357368
5 345,6625097635;2,1330946351;21382,65004;8,53237854;42765,30008;17,06475708
