val_out_4;val_out_3
0.0;0.0
79.62197876;406.7190552
78.63900757;192.6649628
77.43532562;365.1954956
76.16217041;681.0041504
74.87696838;1047.015015
73.60124207;1427.750977
72.3428421;1809.790771
71.10443115;2188.137939
69.88673401;2561.000488
68.70161438;2924.158447
67.52490234;3284.816162
66.36832428;3639.304199
65.23154449;3987.709229
64.11421204;4330.134277
63.01599503;4666.685547
61.93655777;4997.468262
60.8755722;5322.583984
59.83272934;5642.132324
58.80772018;5956.210449
57.81023026;6261.852051
56.81981277;6565.324219
55.84634018;6863.603516
54.88952637;7156.779297
53.94908905;7444.938477
53.02475357;7728.167969
52.11624908;8006.55127
51.22330475;8280.171875
50.34565735;8549.111328
49.48305511;8813.450195
48.64364624;9070.69043
47.81022644;9326.104492
46.99110413;9577.150391
46.18603134;9823.900391
45.39477921;10066.42969
44.61710739;10304.80859
43.85279083;10539.11035
43.10160446;10769.40332
42.36332321;10995.75586
41.63772583;11218.23633
40.93167496;11434.74219
40.23069382;11649.71289
39.54176331;11861.00488
38.86468506;12068.68262
38.1992569;12272.80664
37.54528046;12473.43945
36.90255737;12670.63965
36.27089691;12864.46484
35.65011215;13054.97559
35.04001999;13242.22656
34.44637299;13424.44824
33.85700989;13605.37793
33.2777977;13783.21289
32.70856094;13958.00488
32.14912796;14129.80566
31.59933662;14298.66797
31.05901337;14464.6416
30.52799797;14627.77539
30.00612831;14788.11816
29.49324799;14945.71777
28.99419975;15099.08594
28.49874687;15251.36523
28.01182365;15401.03906
27.53328323;15548.15332
27.06298065;15692.75
26.60077095;15834.87305
26.14651299;15974.56445
25.70006752;16111.86621
25.26129913;16246.81836
24.83007431;16379.46289
24.41045952;16508.54492
23.99385262;16636.71094
23.58439827;16762.68359
23.1819725;16886.50195
22.78644943;17008.20312
22.3977108;17127.82031
22.01563644;17245.39062
21.6401062;17360.95117
21.27100754;17474.53516
20.90822601;17586.17383
20.55518532;17694.81641
20.20464706;17802.6875
19.86009598;17908.71289
19.52142906;18012.92383
19.18854332;18115.35352
18.86133385;18216.0293
18.53970337;18314.98242
18.2235527;18412.24414
17.91278267;18507.8418
17.60730171;18601.80273
17.30999184;18693.24023
17.01475906;18784.03125
16.7245388;18873.26758
16.43924332;18960.97656
16.15878868;19047.18555
15.88308907;19131.91992
15.61206055;19215.20508
15.34562111;19297.06445
15.0836916;19377.52344
14.82619286;19456.60742
14.57555866;19533.56641
14.32664871;19609.97852
14.08194447;19685.08398
13.84137154;19758.90625
13.60485935;19831.46289
13.37233829;19902.7793
13.14373779;19972.87695
12.918993;20041.77344
12.69803715;20109.49219
12.48295975;20175.39258
12.26935291;20240.82422
12.05934429;20305.13672
11.85287571;20368.34961
11.64988518;20430.48242
11.45031452;20491.54883
11.25410652;20551.57422
11.06120586;20610.57031
10.87155724;20668.55664
10.68510532;20725.55273
10.50361538;20781.01758
10.32336998;20836.08789
10.14616585;20890.2168
