IN;OUT
46635,62842;4,468664284
46658,97055;4,3932191
46681,91332;4,319003925
46704,46357;4,24599531
46726,62802;4,174170416
46748,41327;4,103507001
46769,8258;4,033983421
46790,87199;3,965578623
46811,5581;3,898272132
46831,89031;3,832044051
46851,67652;3,767521558
46871,32235;3,70338255
46890,63207;3,640265802
46909,61143;3,578153624
46928,26607;3,517028855
46946,60156;3,456874852
46964,62336;3,397675479
46982,33682;3,339415096
46999,74723;3,282078545
47016,85978;3,225651142
47033,51278;3,170669598
47050,04765;3,116009506
47066,29962;3,06221733
47082,27354;3,009280133
47097,97418;2,957185379
47113,4062;2,905920922
47128,5742;2,855474992
47143,4827;2,805836176
47158,13613;2,756993406
47172,53887;2,708935944
47186,55484;2,662122389
47200,47138;2,615596971
47214,14983;2,569826567
47227,59426;2,5248016
47240,80868;2,480512748
47253,79703;2,436950926
47266,56316;2,39410727
47279,11089;2,351973127
47291,44395;2,310540034
47303,56602;2,269799709
47315,36256;2,230141226
47327,07542;2,1907555
47338,5879;2,152038697
47349,90342;2,113983106
47361,02535;2,076581123
47371,95701;2,039825243
47382,70165;2,003708045
47393,26247;1,968222179
47403,64262;1,933360357
47413,84519;1,899115339
47423,77378;1,865813286
47433,63195;1,832774318
47443,32146;1,800330703
47452,84521;1,7684753
47462,20603;1,73720097
47471,4067;1,706500566
47480,44998;1,67636693
47489,33854;1,646792882
47498,07505;1,617771216
47506,66209;1,589294695
47515,01854;1,561632792
47523,31572;1,534219426
47531,47096;1,507329326
47539,48668;1,480955084
47547,36527;1,455089239
47555,10908;1,429724279
47562,72041;1,404852636
47570,20153;1,380466689
47577,55466;1,35655876
47584,78201;1,333121117
47591,81528;1,310373462
47598,79866;1,287848473
47605,66257;1,265770334
47612,40905;1,244131109
47619,04013;1,222922815
47625,55776;1,202137429
47631,96389;1,181766889
47638,26042;1,1618031
47644,44924;1,142237937
47650,53218;1,123063253
47656,45178;1,104456941
47662,32938;1,086035006
47668,10644;1,067979104
47673,78466;1,050281051
47679,36574;1,032932672
47684,85134;1,015925803
47690,24309;0,999252302
47695,5426;0,982904057
47700,75145;0,966872991
47705,87118;0,95115107
47710,85343;0,935883053
47715,80034;0,92075264
47720,66261;0,905907687
47725,4417;0,891340413
47730,13903;0,877043116
47734,756;0,863008188
47739,29397;0,849228116
47743,75431;0,835695492
47748,13833;0,822403025
47752,44735;0,809343539
47756,64066;0,796637229
47760,80422;0,784020547
47764,89654;0,771616185
47768,91885;0,759417518
47772,87234;0,747418076
47776,75818;0,735611546
47780,57755;0,723991783
47784,33157;0,71255281
47788,02136;0,701288827
47791,64802;0,690194213
47795,17728;0,679372044
47798,68151;0,668598487
47802,12578;0,657978606
47805,51112;0,647507539
47808,83854;0,637180618
47812,10902;0,626993374
47815,32355;0,616941542
47818,48308;0,607021055
47821,58855;0,597228053
47824,64088;0,587558879
47827,61125;0,578104979
47830,56054;0,568672142
47833,45936;0,559353406
47836,30859;0,550145922
47839,10906;0,541047037
47841,86162;0,532054299
47844,56708;0,523165446
47847,22625;0,51437841
47849,83992;0,50569131
47852,40888;0,497102447
47854,90884;0,488694753
47857,39106;0,480297041
47859,83082;0,471993545
47862,22882;0,463783255
47864,5858;0,455665321
47866,90245;0,447639046
47869,17947;0,439703879
47871,41752;0,431859411
47873,61728;0,424105365
47875,77941;0,416441594
47877,88347;0,408943355
47879,9726;0,40145925
47882,02599;0,394065658
47884,04425;0,38676286
47886,02798;0,379551229
47887,97776;0,372431219
47889,89419;0,365403358
47891,77783;0,358468236
47893,62924;0,351626502
47895,44898;0,344878855
47897,21985;0,33829209
47898,97816;0,331733906
47900,70639;0,325272105
47902,40505;0,318907502
47904,07465;0,312640917
47905,71569;0,306473174
47907,32865;0,300405087
47908,91402;0,294437461
47910,47227;0,288571075
47912,00387;0,282806683
47913,49433;0,27720111
47914,97422;0,271641781
47916,4288;0,266186463
47917,8585;0,26083573
47919,26374;0,255590098
47920,64494;0,250450016
47922,00251;0,245415862
47923,33686;0,240487942
47924,64839;0,235666477
47925,93748;0,230951607
47927,19196;0,226388938
47928,43754;0,221886255
47929,66182;0,217490045
47930,86516;0,213200076
47932,04791;0,209016015
47933,21043;0,204937431
47934,35307;0,200963786
47935,47617;0,197094437
47936,58005;0,193328638
47937,66505;0,189665536
47938,72092;0,186139283
47939,7693;0,182677586
47940,79976;0,179315402
47941,81258;0,176051455
47942,80809;0,172884369
47943,78656;0,169812665
47944,7483;0,166834765
47945,69359;0,163948996
47946,62271;0,16115359
47947,53594;0,158446686
47948,42465;0,15585212
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
