x;consumption;x1;angle;
1.2087999999994516;0.04707539227884296;1.2087999999994516;0.5522613430749671;
1.2097899999994581;0.04760301511185393;1.2097899999994581;0.5577652763886105;
1.2107899999994647;0.04813867289028081;1.2107899999994647;0.5633495779920914;
1.2117899999994712;0.048677045015565905;1.2117899999994712;0.5689587343234315;
1.2127899999994778;0.04921812681006731;1.2127899999994778;0.5745927025498855;
1.2137899999994843;0.04976191360420286;1.2137899999994843;0.5802514399124851;
1.2147899999994909;0.050308400736436144;1.2147899999994909;0.5859349037259051;
1.2157899999994974;0.05085758355326239;1.2157899999994974;0.5916430513783387;
1.216789999999504;0.05140945740919459;1.216789999999504;0.5973758403313684;
1.2177899999995105;0.05196401766674932;1.2177899999995105;0.6031332281198387;
1.218789999999517;0.05252125969643304;1.218789999999517;0.6089151723517283;
1.2197799999995236;0.05307556644818458;1.2197799999995236;0.6146634449183207;
1.2207799999995301;0.05363813146297516;1.2207799999995301;0.6204941306429864;
1.2217799999995367;0.05420336445522979;1.2217799999995367;0.6263492464939211;
1.2227799999995432;0.05477126082719558;1.2227799999995432;0.6322287503696481;
1.2237799999995498;0.05534181598903993;1.2237799999995498;0.6381326002411943;
1.2247799999995563;0.05591502535883706;1.2247799999995563;0.6440607541519634;
1.2257799999995629;0.056490884362554096;1.2257799999995629;0.6500131702176101;
1.2267799999995694;0.05706938843403724;1.2267799999995694;0.6559898066259148;
1.227779999999576;0.05765053301499817;1.227779999999576;0.6619906216366602;
1.2287799999995825;0.05823431355500031;1.2287799999995825;0.6680155735815044;
1.229769999999589;0.058814848381265564;1.229769999999589;0.6740040112555182;
1.2307699999995956;0.05940386097298363;1.2307699999995956;0.6800768720176006;
1.2317699999996021;0.05999549596463809;1.2317699999996021;0.6861737455529452;
1.2327699999996087;0.06058974883698484;1.2327699999996087;0.6922945904787561;
1.2337699999996152;0.06118661507856387;1.2337699999996152;0.6984393654834932;
1.2347699999996218;0.06178609018568524;1.2347699999996218;0.7046080293267483;
1.2357699999996283;0.062388169662415824;1.2357699999996283;0.7108005408391237;
1.2367699999996349;0.06299284902056576;1.2367699999996349;0.7170168589221055;
1.2377699999996414;0.06360012377967503;1.2377699999996414;0.7232569425479449;
1.238769999999648;0.06420998946699989;1.238769999999648;0.7295207507595334;
1.2397599999996545;0.06481630430764401;1.2397599999996545;0.7357452506509399;
1.240759999999661;0.06543131266594802;1.240759999999661;0.7420561492176303;
1.2417599999996676;0.06604889862485971;1.2417599999996676;0.7483906503284748;
1.2427599999996741;0.06666905774229051;1.2427599999996741;0.7547487133070063;
1.2437599999996807;0.06729178558380161;1.2437599999996807;0.7611302975467865;
1.2447599999996872;0.0679170777225906;1.2447599999996872;0.7675353625112896;
1.2457599999996938;0.06854492973947829;1.2457599999996938;0.7739638677337779;
1.2467599999997003;0.06917533722289534;1.2467599999997003;0.7804157728171851;
1.2477599999997069;0.06980829576886932;1.2477599999997069;0.7868910374339904;
1.2487599999997134;0.07044380098101134;1.2487599999997134;0.7933896213261022;
1.24974999999972;0.07107545542572717;1.24974999999972;0.7998461505752621;
1.2507499999997265;0.07171601545400838;1.2507499999997265;0.8063910203295179;
1.251749999999733;0.0723591090483606;1.251749999999733;0.8129590894003349;
1.2527499999997396;0.07300473184252261;1.2527499999997396;0.8195503178054429;
1.2537499999997461;0.07365287947775136;1.2537499999997461;0.8261646656314032;
